3602 21360
3600 3601
95 94 1000
95 35 1000
3600 96 982
96 3601 17
96 97 1000
96 156 1000
96 95 996
96 36 1000
3600 97 982
97 3601 17
97 98 1000
97 157 1000
97 96 1000
97 37 1000
3600 98 982
98 3601 17
98 99 1000
98 158 1000
98 97 1000
98 38 1000
3600 99 982
99 3601 17
99 100 1000
99 159 1000
99 98 1000
99 39 1000
3600 100 982
100 3601 17
100 101 1000
100 160 1000
100 99 1000
100 40 1000
3600 101 982
101 3601 17
101 102 1000
101 161 996
101 100 1000
101 41 1000
3600 102 982
102 3601 17
102 103 1000
102 162 996
102 101 1000
102 42 996
3600 103 982
103 3601 17
103 104 1000
103 163 996
103 102 1000
103 43 996
3600 104 982
104 3601 17
104 105 996
104 164 996
104 103 1000
104 44 996
3600 105 982
105 3601 17
105 106 996
105 165 996
105 104 996
105 45 1000
3600 106 982
106 3601 17
106 107 1000
106 166 1000
106 105 996
106 46 1000
3600 107 982
107 3601 17
107 108 1000
107 167 1000
107 106 1000
107 47 1000
3600 108 982
108 3601 17
108 109 1000
108 168 1000
108 107 1000
108 48 1000
3600 109 982
109 3601 17
109 110 1000
109 169 1000
109 108 1000
109 49 1000
3600 110 982
110 3601 17
110 111 1000
110 170 996
110 109 1000
110 50 1000
3600 111 982
111 3601 17
111 112 1000
111 171 996
111 110 1000
111 51 1000
3600 112 982
112 3601 17
112 113 1000
112 172 996
112 111 1000
112 52 1000
3600 113 982
113 3601 17
113 114 1000
113 173 996
113 112 1000
113 53 1000
3600 114 982
114 3601 17
114 115 996
114 174 996
114 113 1000
114 54 1000
3600 115 982
115 3601 17
115 116 1000
115 175 1000
115 114 996
115 55 1000
3600 116 982
116 3601 17
116 117 1000
116 176 996
116 115 1000
116 56 1000
3600 117 982
117 3601 17
117 118 1000
117 177 996
117 116 1000
117 57 1000
3600 118 982
118 3601 17
118 119 1000
118 178 1000
118 117 1000
118 58 1000
3600 119 982
119 3601 17
119 179 1000
119 118 1000
119 59 1000
3600 120 978
120 3601 21
120 121 1000
120 180 996
120 60 996
3600 121 978
121 3601 21
121 122 996
121 181 992
121 120 1000
121 61 996
3600 122 982
122 3601 17
122 123 1000
122 182 996
122 121 996
122 62 992
3600 123 982
123 3601 17
123 124 1000
123 183 996
123 122 1000
123 63 992
3600 124 982
124 3601 17
124 125 996
124 184 996
124 123 1000
124 64 992
3600 125 982
125 3601 17
125 126 1000
125 185 1000
125 124 996
125 65 992
3600 126 982
126 3601 17
126 127 1000
126 186 996
126 125 1000
126 66 992
3600 127 982
127 3601 17
127 128 1000
127 187 996
127 126 1000
127 67 996
3600 128 982
128 3601 17
128 129 996
128 188 996
128 127 1000
128 68 996
3600 129 982
129 3601 17
129 130 1000
129 189 1000
129 128 996
129 69 996
3600 130 982
130 3601 17
130 131 1000
130 190 1000
130 129 1000
130 70 996
3600 131 982
131 3601 17
131 132 1000
131 191 1000
131 130 1000
131 71 996
3600 132 982
132 3601 17
132 133 1000
132 192 1000
132 131 1000
132 72 996
3600 133 982
133 3601 17
133 134 1000
133 193 1000
133 132 1000
133 73 996
3600 134 982
134 3601 17
134 135 1000
134 194 1000
134 133 1000
134 74 996
3600 135 982
135 3601 17
135 136 1000
135 195 1000
135 134 1000
135 75 996
3600 136 982
136 3601 17
136 137 1000
136 196 1000
136 135 1000
136 76 996
3600 137 982
137 3601 17
137 138 1000
137 197 1000
137 136 1000
137 77 996
3600 138 982
138 3601 17
138 139 1000
138 198 1000
138 137 1000
138 78 1000
3600 139 982
139 3601 17
139 140 1000
139 199 1000
139 138 1000
139 79 1000
3600 140 982
140 3601 17
140 141 1000
140 200 1000
140 139 1000
140 80 996
3600 141 982
141 3601 17
141 142 996
141 201 1000
141 140 1000
141 81 996
3600 142 982
142 3601 17
142 143 1000
142 202 1000
142 141 996
142 82 1000
3600 143 982
143 3601 17
143 144 996
143 203 1000
143 142 1000
143 83 996
3600 144 982
144 3601 17
144 145 1000
144 204 1000
144 143 996
144 84 1000
3600 145 982
145 3601 17
145 146 1000
145 205 1000
145 144 1000
145 85 1000
3600 146 982
146 3601 17
146 147 1000
146 206 1000
146 145 1000
146 86 1000
3600 147 982
147 3601 17
147 148 1000
147 207 1000
147 146 1000
147 87 1000
3600 148 982
148 3601 17
148 149 1000
148 208 1000
148 147 1000
148 88 1000
3600 149 982
149 3601 17
149 150 1000
149 209 1000
149 148 1000
149 89 1000
3600 150 982
150 3601 17
150 151 1000
150 210 1000
150 149 1000
150 90 1000
3600 151 982
151 3601 17
151 152 1000
151 211 1000
151 150 1000
151 91 1000
3600 152 982
152 3601 17
152 153 996
152 212 996
152 151 1000
152 92 1000
3600 153 982
153 3601 17
153 154 996
153 213 1000
153 152 996
153 93 996
3600 154 982
154 3601 17
154 155 1000
154 214 1000
154 153 996
154 94 1000
3600 155 982
155 3601 17
155 156 996
155 215 1000
155 154 1000
155 95 1000
3600 156 982
156 3601 17
156 157 1000
156 216 1000
156 155 996
156 96 1000
3600 157 982
157 3601 17
157 158 1000
157 217 1000
157 156 1000
157 97 1000
3600 158 982
158 3601 17
158 159 1000
158 218 1000
158 157 1000
158 98 1000
3600 159 982
159 3601 17
159 160 1000
159 219 1000
159 158 1000
159 99 1000
3600 160 982
160 3601 17
160 161 996
160 220 996
160 159 1000
160 100 1000
3600 161 982
161 3601 17
161 162 1000
161 221 1000
161 160 996
161 101 996
3600 162 982
162 3601 17
162 163 1000
162 222 1000
162 161 1000
162 102 996
3600 163 982
163 3601 17
163 164 1000
163 223 1000
163 162 1000
163 103 996
3600 164 982
164 3601 17
164 165 996
164 224 1000
164 163 1000
164 104 996
3600 165 982
165 3601 17
165 166 1000
165 225 996
165 164 996
165 105 996
3600 166 982
166 3601 17
166 167 1000
166 226 1000
166 165 1000
166 106 1000
3600 167 982
167 3601 17
167 168 1000
167 227 1000
167 166 1000
167 107 1000
3600 168 982
168 3601 17
168 169 1000
168 228 1000
168 167 1000
168 108 1000
3600 169 982
169 3601 17
169 170 996
169 229 1000
169 168 1000
169 109 1000
3600 170 982
170 3601 17
170 171 1000
170 230 1000
170 169 996
170 110 996
3600 171 982
171 3601 17
171 172 1000
171 231 1000
171 170 1000
171 111 996
3600 172 982
172 3601 17
172 173 1000
172 232 1000
172 171 1000
172 112 996
3600 173 982
173 3601 17
173 174 1000
173 233 1000
173 172 1000
173 113 996
3600 174 982
174 3601 17
174 175 1000
174 234 1000
174 173 1000
174 114 996
3600 175 982
175 3601 17
175 176 996
175 235 996
175 174 1000
175 115 1000
3600 176 982
176 3601 17
176 177 1000
176 236 1000
176 175 996
176 116 996
3600 177 982
177 3601 17
177 178 996
177 237 996
177 176 1000
177 117 996
3600 178 982
178 3601 17
178 179 1000
178 238 996
178 177 996
178 118 1000
3600 179 982
179 3601 17
179 239 992
179 178 1000
179 119 1000
3600 180 982
180 3601 17
180 181 996
180 240 996
180 120 996
3600 181 982
181 3601 17
181 182 1000
181 241 996
181 180 996
181 121 992
3600 182 982
182 3601 17
182 183 1000
182 242 996
182 181 1000
182 122 996
3600 183 982
183 3601 17
183 184 1000
183 243 996
183 182 1000
183 123 996
3600 184 982
184 3601 17
184 185 1000
184 244 996
184 183 1000
184 124 996
3600 185 982
185 3601 17
185 186 996
185 245 996
185 184 1000
185 125 1000
3600 186 982
186 3601 17
186 187 1000
186 246 1000
186 185 996
186 126 996
3600 187 982
187 3601 17
187 188 1000
187 247 1000
187 186 1000
187 127 996
3600 188 982
188 3601 17
188 189 1000
188 248 1000
188 187 1000
188 128 996
3600 189 982
189 3601 17
189 190 1000
189 249 1000
189 188 1000
189 129 1000
3600 190 982
190 3601 17
190 191 1000
190 250 1000
190 189 1000
190 130 1000
3600 191 982
191 3601 17
191 192 1000
191 251 1000
191 190 1000
191 131 1000
3600 192 982
192 3601 17
192 193 1000
192 252 1000
192 191 1000
192 132 1000
3600 193 982
193 3601 17
193 194 1000
193 253 1000
193 192 1000
193 133 1000
3600 194 982
194 3601 17
194 195 1000
194 254 1000
194 193 1000
194 134 1000
3600 195 982
195 3601 17
195 196 1000
195 255 1000
195 194 1000
195 135 1000
3600 196 982
196 3601 17
196 197 1000
196 256 1000
196 195 1000
196 136 1000
3600 197 982
197 3601 17
197 198 1000
197 257 1000
197 196 1000
197 137 1000
3600 198 982
198 3601 17
198 199 1000
198 258 1000
198 197 1000
198 138 1000
3600 199 982
199 3601 17
199 200 1000
199 259 1000
199 198 1000
199 139 1000
3600 200 982
200 3601 17
200 201 1000
200 260 1000
200 199 1000
200 140 1000
3600 201 982
201 3601 17
201 202 996
201 261 1000
201 200 1000
201 141 1000
3600 202 982
202 3601 17
202 203 1000
202 262 996
202 201 996
202 142 1000
3600 203 982
203 3601 17
203 204 996
203 263 996
203 202 1000
203 143 1000
3600 204 982
204 3601 17
204 205 1000
204 264 1000
204 203 996
204 144 1000
3600 205 982
205 3601 17
205 206 1000
205 265 1000
205 204 1000
205 145 1000
3600 206 982
206 3601 17
206 207 1000
206 266 1000
206 205 1000
206 146 1000
3600 207 982
207 3601 17
207 208 1000
207 267 1000
207 206 1000
207 147 1000
3600 208 982
208 3601 17
208 209 1000
208 268 1000
208 207 1000
208 148 1000
3600 209 982
209 3601 17
209 210 1000
209 269 1000
209 208 1000
209 149 1000
3600 210 982
210 3601 17
210 211 1000
210 270 996
210 209 1000
210 150 1000
3600 211 982
211 3601 17
211 212 996
211 271 996
211 210 1000
211 151 1000
3600 212 982
212 3601 17
212 213 1000
212 272 996
212 211 996
212 152 996
3600 213 982
213 3601 17
213 214 996
213 273 996
213 212 1000
213 153 1000
3600 214 982
214 3601 17
214 215 1000
214 274 1000
214 213 996
214 154 1000
3600 215 982
215 3601 17
215 216 996
215 275 1000
215 214 1000
215 155 1000
3600 216 982
216 3601 17
216 217 1000
216 276 1000
216 215 996
216 156 1000
3600 217 982
217 3601 17
217 218 1000
217 277 1000
217 216 1000
217 157 1000
3600 218 982
218 3601 17
218 219 1000
218 278 1000
218 217 1000
218 158 1000
3600 219 982
219 3601 17
219 220 996
219 279 1000
219 218 1000
219 159 1000
3600 220 982
220 3601 17
220 221 1000
220 280 1000
220 219 996
220 160 996
3600 221 982
221 3601 17
221 222 1000
221 281 1000
221 220 1000
221 161 1000
3600 222 982
222 3601 17
222 223 1000
222 282 1000
222 221 1000
222 162 1000
3600 223 982
223 3601 17
223 224 1000
223 283 1000
223 222 1000
223 163 1000
3600 224 982
224 3601 17
224 225 1000
224 284 996
224 223 1000
224 164 1000
3600 225 982
225 3601 17
225 226 996
225 285 996
225 224 1000
225 165 996
3600 226 982
226 3601 17
226 227 1000
226 286 1000
226 225 996
226 166 1000
3600 227 982
227 3601 17
227 228 1000
227 287 1000
227 226 1000
227 167 1000
3600 228 982
228 3601 17
228 229 1000
228 288 1000
228 227 1000
228 168 1000
3600 229 982
229 3601 17
229 230 996
229 289 1000
229 228 1000
229 169 1000
3600 230 982
230 3601 17
230 231 1000
230 290 1000
230 229 996
230 170 1000
3600 231 982
231 3601 17
231 232 1000
231 291 1000
231 230 1000
231 171 1000
3600 232 982
232 3601 17
232 233 1000
232 292 1000
232 231 1000
232 172 1000
3600 233 982
233 3601 17
233 234 1000
233 293 1000
233 232 1000
233 173 1000
3600 234 982
234 3601 17
234 235 996
234 294 992
234 233 1000
234 174 1000
3600 235 982
235 3601 17
235 236 1000
235 295 996
235 234 996
235 175 996
3600 236 982
236 3601 17
236 237 996
236 296 1000
236 235 1000
236 176 1000
3600 237 982
237 3601 17
237 238 996
237 297 1000
237 236 996
237 177 996
3600 238 982
238 3601 17
238 239 996
238 298 988
238 237 996
238 178 996
3600 239 982
239 3601 17
239 299 988
239 238 996
239 179 992
3600 240 982
240 3601 17
240 241 996
240 300 996
240 180 996
3600 241 982
241 3601 17
241 242 1000
241 301 1000
241 240 996
241 181 996
3600 242 982
242 3601 17
242 243 1000
242 302 1000
242 241 1000
242 182 996
3600 243 982
243 3601 17
243 244 1000
243 303 1000
243 242 1000
243 183 996
3600 244 982
244 3601 17
244 245 1000
244 304 1000
244 243 1000
244 184 996
3600 245 982
245 3601 17
245 246 1000
245 305 1000
245 244 1000
245 185 996
3600 246 982
246 3601 17
246 247 1000
246 306 1000
246 245 1000
246 186 1000
3600 247 982
247 3601 17
247 248 1000
247 307 1000
247 246 1000
247 187 1000
3600 248 982
248 3601 17
248 249 1000
248 308 1000
248 247 1000
248 188 1000
3600 249 982
249 3601 17
249 250 1000
249 309 1000
249 248 1000
249 189 1000
3600 250 982
250 3601 17
250 251 1000
250 310 1000
250 249 1000
250 190 1000
3600 251 982
251 3601 17
251 252 1000
251 311 1000
251 250 1000
251 191 1000
3600 252 982
252 3601 17
252 253 1000
252 312 1000
252 251 1000
252 192 1000
3600 253 982
253 3601 17
253 254 1000
253 313 1000
253 252 1000
253 193 1000
3600 254 982
254 3601 17
254 255 1000
254 314 1000
254 253 1000
254 194 1000
3600 255 982
255 3601 17
255 256 1000
255 315 1000
255 254 1000
255 195 1000
3600 256 982
256 3601 17
256 257 1000
256 316 1000
256 255 1000
256 196 1000
3600 257 982
257 3601 17
257 258 1000
257 317 1000
257 256 1000
257 197 1000
3600 258 982
258 3601 17
258 259 1000
258 318 1000
258 257 1000
258 198 1000
3600 259 982
259 3601 17
259 260 1000
259 319 1000
259 258 1000
259 199 1000
3600 260 982
260 3601 17
260 261 1000
260 320 1000
260 259 1000
260 200 1000
3600 261 982
261 3601 17
261 262 1000
261 321 1000
261 260 1000
261 201 1000
3600 262 982
262 3601 17
262 263 1000
262 322 1000
262 261 1000
262 202 996
3600 263 982
263 3601 17
263 264 1000
263 323 1000
263 262 1000
263 203 996
3600 264 982
264 3601 17
264 265 1000
264 324 1000
264 263 1000
264 204 1000
3600 265 982
265 3601 17
265 266 1000
265 325 1000
265 264 1000
265 205 1000
3600 266 982
266 3601 17
266 267 1000
266 326 1000
266 265 1000
266 206 1000
3600 267 982
267 3601 17
267 268 1000
267 327 1000
267 266 1000
267 207 1000
3600 268 982
268 3601 17
268 269 1000
268 328 1000
268 267 1000
268 208 1000
3600 269 982
269 3601 17
269 270 996
269 329 1000
269 268 1000
269 209 1000
3600 270 982
270 3601 17
270 271 1000
270 330 1000
270 269 996
270 210 996
3600 271 982
271 3601 17
271 272 996
271 331 1000
271 270 1000
271 211 996
3600 272 982
272 3601 17
272 273 1000
272 332 1000
272 271 996
272 212 996
3600 273 982
273 3601 17
273 274 1000
273 333 1000
273 272 1000
273 213 996
3600 274 982
274 3601 17
274 275 1000
274 334 1000
274 273 1000
274 214 1000
3600 275 982
275 3601 17
275 276 996
275 335 1000
275 274 1000
275 215 1000
3600 276 982
276 3601 17
276 277 1000
276 336 1000
276 275 996
276 216 1000
3600 277 982
277 3601 17
277 278 1000
277 337 1000
277 276 1000
277 217 1000
3600 278 982
278 3601 17
278 279 1000
278 338 1000
278 277 1000
278 218 1000
3600 279 982
279 3601 17
279 280 996
279 339 1000
279 278 1000
279 219 1000
3600 280 982
280 3601 17
280 281 1000
280 340 996
280 279 996
280 220 1000
3600 281 982
281 3601 17
281 282 1000
281 341 1000
281 280 1000
281 221 1000
3600 282 982
282 3601 17
282 283 1000
282 342 1000
282 281 1000
282 222 1000
3600 283 982
283 3601 17
283 284 996
283 343 996
283 282 1000
283 223 1000
3600 284 982
284 3601 17
284 285 1000
284 344 1000
284 283 996
284 224 996
3600 285 982
285 3601 17
285 286 1000
285 345 1000
285 284 1000
285 225 996
3600 286 982
286 3601 17
286 287 1000
286 346 1000
286 285 1000
286 226 1000
3600 287 982
287 3601 17
287 288 1000
287 347 1000
287 286 1000
287 227 1000
3600 288 982
288 3601 17
288 289 1000
288 348 1000
288 287 1000
288 228 1000
3600 289 982
289 3601 17
289 290 996
289 349 1000
289 288 1000
289 229 1000
3600 290 982
290 3601 17
290 291 1000
290 350 996
290 289 996
290 230 1000
3600 291 982
291 3601 17
291 292 1000
291 351 996
291 290 1000
291 231 1000
3600 292 982
292 3601 17
292 293 1000
292 352 996
292 291 1000
292 232 1000
3600 293 982
293 3601 17
293 294 992
293 353 996
293 292 1000
293 233 1000
3600 294 982
294 3601 17
294 295 1000
294 354 996
294 293 992
294 234 992
3600 295 982
295 3601 17
295 296 996
295 355 992
295 294 1000
295 235 996
3600 296 982
296 3601 17
296 297 996
296 356 988
296 295 996
296 236 1000
3600 297 982
297 3601 17
297 298 992
297 357 984
297 296 996
297 237 1000
3600 298 974
298 3601 25
298 299 996
298 358 984
298 297 992
298 238 988
3600 299 970
299 3601 29
299 359 980
299 298 996
299 239 988
3600 300 982
300 3601 17
300 301 1000
300 360 1000
300 240 996
3600 301 982
301 3601 17
301 302 1000
301 361 1000
301 300 1000
301 241 1000
3600 302 982
302 3601 17
302 303 1000
302 362 1000
302 301 1000
302 242 1000
3600 303 982
303 3601 17
303 304 1000
303 363 1000
303 302 1000
303 243 1000
3600 304 982
304 3601 17
304 305 1000
304 364 1000
304 303 1000
304 244 1000
3600 305 982
305 3601 17
305 306 1000
305 365 1000
305 304 1000
305 245 1000
3600 306 982
306 3601 17
306 307 1000
306 366 1000
306 305 1000
306 246 1000
3600 307 982
307 3601 17
307 308 1000
307 367 1000
307 306 1000
307 247 1000
3600 308 982
308 3601 17
308 309 1000
308 368 1000
308 307 1000
308 248 1000
3600 309 982
309 3601 17
309 310 1000
309 369 1000
309 308 1000
309 249 1000
3600 310 982
310 3601 17
310 311 1000
310 370 1000
310 309 1000
310 250 1000
3600 311 982
311 3601 17
311 312 1000
311 371 1000
311 310 1000
311 251 1000
3600 312 982
312 3601 17
312 313 1000
312 372 1000
312 311 1000
312 252 1000
3600 313 982
313 3601 17
313 314 1000
313 373 1000
313 312 1000
313 253 1000
3600 314 982
314 3601 17
314 315 1000
314 374 1000
314 313 1000
314 254 1000
3600 315 982
315 3601 17
315 316 1000
315 375 1000
315 314 1000
315 255 1000
3600 316 982
316 3601 17
316 317 1000
316 376 1000
316 315 1000
316 256 1000
3600 317 982
317 3601 17
317 318 1000
317 377 1000
317 316 1000
317 257 1000
3600 318 982
318 3601 17
318 319 1000
318 378 1000
318 317 1000
318 258 1000
3600 319 982
319 3601 17
319 320 1000
319 379 1000
319 318 1000
319 259 1000
3600 320 982
320 3601 17
320 321 1000
320 380 1000
320 319 1000
320 260 1000
3600 321 982
321 3601 17
321 322 1000
321 381 1000
321 320 1000
321 261 1000
3600 322 982
322 3601 17
322 323 1000
322 382 1000
322 321 1000
322 262 1000
3600 323 982
323 3601 17
323 324 1000
323 383 1000
323 322 1000
323 263 1000
3600 324 982
324 3601 17
324 325 1000
324 384 1000
324 323 1000
324 264 1000
3600 325 982
325 3601 17
325 326 1000
325 385 1000
325 324 1000
325 265 1000
3600 326 982
326 3601 17
326 327 1000
326 386 996
326 325 1000
326 266 1000
3600 327 982
327 3601 17
327 328 1000
327 387 996
327 326 1000
327 267 1000
3600 328 982
328 3601 17
328 329 1000
328 388 1000
328 327 1000
328 268 1000
3600 329 982
329 3601 17
329 330 996
329 389 1000
329 328 1000
329 269 1000
3600 330 982
330 3601 17
330 331 1000
330 390 1000
330 329 996
330 270 1000
3600 331 982
331 3601 17
331 332 996
331 391 1000
331 330 1000
331 271 1000
3600 332 982
332 3601 17
332 333 1000
332 392 1000
332 331 996
332 272 1000
3600 333 982
333 3601 17
333 334 1000
333 393 1000
333 332 1000
333 273 1000
3600 334 982
334 3601 17
334 335 1000
334 394 996
334 333 1000
334 274 1000
3600 335 982
335 3601 17
335 336 996
335 395 996
335 334 1000
335 275 1000
3600 336 982
336 3601 17
336 337 1000
336 396 1000
336 335 996
336 276 1000
3600 337 982
337 3601 17
337 338 1000
337 397 1000
337 336 1000
337 277 1000
3600 338 982
338 3601 17
338 339 1000
338 398 1000
338 337 1000
338 278 1000
3600 339 982
339 3601 17
339 340 1000
339 399 1000
339 338 1000
339 279 1000
3600 340 982
340 3601 17
340 341 996
340 400 1000
340 339 1000
340 280 996
3600 341 982
341 3601 17
341 342 1000
341 401 996
341 340 996
341 281 1000
3600 342 982
342 3601 17
342 343 996
342 402 996
342 341 1000
342 282 1000
3600 343 982
343 3601 17
343 344 1000
343 403 1000
343 342 996
343 283 996
3600 344 982
344 3601 17
344 345 1000
344 404 996
344 343 1000
344 284 1000
3600 345 982
345 3601 17
345 346 1000
345 405 996
345 344 1000
345 285 1000
3600 346 982
346 3601 17
346 347 1000
346 406 996
346 345 1000
346 286 1000
3600 347 982
347 3601 17
347 348 1000
347 407 996
347 346 1000
347 287 1000
3600 348 982
348 3601 17
348 349 1000
348 408 1000
348 347 1000
348 288 1000
3600 349 982
349 3601 17
349 350 1000
349 409 1000
349 348 1000
349 289 1000
3600 350 982
350 3601 17
350 351 1000
350 410 996
350 349 1000
350 290 996
3600 351 982
351 3601 17
351 352 1000
351 411 996
351 350 1000
351 291 996
